t_rel,qemu,bridge,osmocon,mobile,tdma,frame_irq,kick,fb_det_hit,stack_in_ndb
0.0,1860,0,1367,120,0,0,0,0,0
10.0,595,0,952,286,1,0,0,0,0
20.0,566,0,909,242,1,0,0,0,0
30.0,577,0,903,242,1,0,0,0,0
40.0,534,0,841,242,1,0,0,0,0
50.0,381,0,609,176,0,0,0,0,0
60.0,380,0,604,176,1,0,0,0,0
70.0,508,0,781,220,1,0,0,0,0
80.0,415,0,652,198,0,0,0,0,0
90.0,343,0,549,154,1,0,0,0,0
100.0,40,0,54,22,0,0,0,0,0
110.0,350,0,555,154,0,0,0,0,0
120.0,399,0,617,198,1,0,0,0,0
130.0,494,0,805,220,1,0,0,0,0
140.0,434,0,681,198,0,0,0,0,0
150.0,422,0,671,198,1,0,0,0,0
160.0,407,0,638,198,0,0,0,0,0
170.0,358,0,548,154,1,0,0,0,0
180.0,507,0,804,235,1,0,0,0,0
190.0,335,0,545,154,0,0,0,0,0
